time_s,fz_N,velocity_mps,state,surface
10.05,-5.7352,0.0,CONTACT,MIR
10.1,-5.9986,0.0,CONTACT,MIR
10.15,-5.8879,0.1963,CONTACT,MIR
10.2,-6.4412,0.0,CONTACT,MIR
10.25,-6.0409,0.0,CONTACT,MIR
10.3,-6.1998,0.0,CONTACT,MIR
10.35,-6.275,0.0,CONTACT,MIR
10.4,-6.2068,0.0,CONTACT,MIR
10.45,-6.098,0.1967,CONTACT,MIR
10.5,-5.7975,0.0,CONTACT,MIR
10.55,-6.246,0.0,CONTACT,MIR
10.6,-5.9746,0.0,CONTACT,MIR
10.65,-6.0776,0.0,CONTACT,MIR
10.7,-6.0463,0.0,CONTACT,MIR
10.75,-5.7802,0.1927,CONTACT,MIR
10.8,-5.8762,0.0,CONTACT,MIR
10.85,-5.7164,0.0,CONTACT,MIR
10.9,-6.0147,0.0,CONTACT,MIR
10.95,-6.123,0.0,CONTACT,MIR
11.0,-6.0286,0.0,CONTACT,MIR
11.05,-5.9353,0.1978,CONTACT,MIR
11.1,-5.9608,0.0,CONTACT,MIR
11.15,-6.2129,0.0,CONTACT,MIR
11.2,-5.978,0.0,CONTACT,MIR
11.25,-5.9504,0.0,CONTACT,MIR
11.3,-5.4926,0.0,CONTACT,MIR
11.35,-5.6207,0.1874,CONTACT,MIR
11.4,-6.1981,0.0,CONTACT,MIR
11.45,-6.0849,0.0,CONTACT,MIR
11.5,-6.3201,0.0,CONTACT,MIR
11.55,-6.1456,0.0,CONTACT,MIR
11.6,-5.9643,0.0,CONTACT,MIR
11.65,-5.7863,0.1929,CONTACT,MIR
11.7,-6.1533,0.0,CONTACT,MIR
11.75,-6.1383,0.0,CONTACT,MIR
11.8,-6.4369,0.0,CONTACT,MIR
11.85,-6.04,0.0,CONTACT,MIR
11.9,-6.22,0.0,CONTACT,MIR
11.95,-6.1134,0.1962,CONTACT,MIR
12.0,-6.1388,0.0,CONTACT,MIR
12.05,-5.9823,0.0,CONTACT,MIR
12.1,-6.3149,0.0,CONTACT,MIR
12.15,-6.2568,0.0,CONTACT,MIR
12.2,-5.5376,0.0,CONTACT,MIR
12.25,-6.2209,0.1926,CONTACT,MIR
12.3,-6.1647,0.0,CONTACT,MIR
12.35,-5.578,0.0,CONTACT,MIR
12.4,-5.3643,0.0,CONTACT,MIR
12.45,-6.1797,0.0,CONTACT,MIR
12.5,-6.019,0.0,CONTACT,MIR
12.55,-5.877,0.1959,CONTACT,MIR
12.6,-5.6323,0.0,CONTACT,MIR
12.65,-6.1754,0.0,CONTACT,MIR
12.7,-6.0271,0.0,CONTACT,MIR
12.75,-5.8226,0.0,CONTACT,MIR
12.8,-5.8911,0.0,CONTACT,MIR
12.85,-6.0533,0.1982,CONTACT,MIR
12.9,-6.0207,0.0,CONTACT,MIR
12.95,-6.269,0.0,CONTACT,MIR
13.0,-6.0416,0.0,CONTACT,MIR
13.05,-6.0473,0.0,CONTACT,MIR
13.1,-5.9475,0.0,CONTACT,MIR
13.15,-6.105,0.1965,CONTACT,MIR
13.2,-5.8824,0.0,CONTACT,MIR
13.25,-5.7742,0.0,CONTACT,MIR
13.3,-5.9456,0.0,CONTACT,MIR
13.35,-5.9064,0.0,CONTACT,MIR
13.4,-5.9661,0.0,CONTACT,MIR
13.45,-5.9767,0.1992,CONTACT,MIR
13.5,-6.143,0.0,CONTACT,MIR
13.55,-5.9354,0.0,CONTACT,MIR
13.6,-6.0181,0.0,CONTACT,MIR
13.65,-5.58,0.0,CONTACT,MIR
13.7,-5.684,0.0,CONTACT,MIR
13.75,-5.9215,0.1974,CONTACT,MIR
13.8,-6.18,0.0,CONTACT,MIR
13.85,-6.2499,0.0,CONTACT,MIR
13.9,-5.7892,0.0,CONTACT,MIR
13.95,-5.9748,0.0,CONTACT,MIR
14.0,-5.9314,0.0,CONTACT,MIR
14.05,-6.3763,0.1875,CONTACT,MIR
14.1,-5.8218,0.0,CONTACT,MIR
14.15,-5.9164,0.0,CONTACT,MIR
14.2,-6.2294,0.0,CONTACT,MIR
14.25,-6.1016,0.0,CONTACT,MIR
14.3,-5.9546,0.0,CONTACT,MIR
14.35,-5.9968,0.1999,CONTACT,MIR
14.4,-6.0649,0.0,CONTACT,MIR
14.45,-6.0272,0.0,CONTACT,MIR
14.5,-6.0569,0.0,CONTACT,MIR
14.55,-5.976,0.0,CONTACT,MIR
14.6,-5.7122,0.0,CONTACT,MIR
14.65,-6.5198,0.1827,CONTACT,MIR
14.7,-6.0396,0.0,CONTACT,MIR
14.75,-5.9569,0.0,CONTACT,MIR
14.8,-5.933,0.0,CONTACT,MIR
14.85,-6.0666,0.0,CONTACT,MIR
14.9,-6.3436,0.0,CONTACT,MIR
14.95,-5.9266,0.1976,CONTACT,MIR
15.0,-5.6361,0.0,CONTACT,MIR
15.05,-6.2883,0.0,CONTACT,MIR
15.1,-5.8088,0.0,CONTACT,MIR
15.15,-6.0473,0.0,CONTACT,MIR
15.2,-5.9938,0.0,CONTACT,MIR
15.25,-6.1921,0.1936,CONTACT,MIR
15.3,-6.0498,0.0,CONTACT,MIR
15.35,-5.7229,0.0,CONTACT,MIR
15.4,-5.8664,0.0,CONTACT,MIR
15.45,-5.6364,0.0,CONTACT,MIR
15.5,-5.7474,0.0,CONTACT,MIR
15.55,-5.8951,0.1965,CONTACT,MIR
15.6,-5.6774,0.0,CONTACT,MIR
15.65,-5.9384,0.0,CONTACT,MIR
15.7,-5.8606,0.0,CONTACT,MIR
15.75,-6.0855,0.0,CONTACT,MIR
15.8,-6.0129,0.0,CONTACT,MIR
15.85,-6.1657,0.1945,CONTACT,MIR
15.9,-5.8387,0.0,CONTACT,MIR
15.95,-6.2722,0.0,CONTACT,MIR
16.0,-5.8801,0.0,CONTACT,MIR
16.05,-6.0747,0.0,CONTACT,MIR
16.1,-5.8023,0.0,CONTACT,MIR
16.15,-5.8864,0.1962,CONTACT,MIR
16.2,-5.6823,0.0,CONTACT,MIR
16.25,-5.9002,0.0,CONTACT,MIR
16.3,-6.3608,0.0,CONTACT,MIR
16.35,-6.0598,0.0,CONTACT,MIR
16.4,-6.2808,0.0,CONTACT,MIR
16.45,-6.15,0.195,CONTACT,MIR
16.5,-5.7268,0.0,CONTACT,MIR
16.55,-5.9015,0.0,CONTACT,MIR
16.6,-6.1688,0.0,CONTACT,MIR
16.65,-6.2318,0.0,CONTACT,MIR
16.7,-6.0225,0.0,CONTACT,MIR
16.75,-6.2723,0.1909,CONTACT,MIR
16.8,-6.1503,0.0,CONTACT,MIR
16.85,-5.9537,0.0,CONTACT,MIR
16.9,-5.785,0.0,CONTACT,MIR
16.95,-5.8943,0.0,CONTACT,MIR
17.0,-6.4743,0.0,CONTACT,MIR
17.05,-5.9552,0.1985,CONTACT,MIR
17.1,-5.9932,0.0,CONTACT,MIR
17.15,-5.9248,0.0,CONTACT,MIR
17.2,-5.6843,0.0,CONTACT,MIR
17.25,-6.4202,0.0,CONTACT,MIR
17.3,-6.1258,0.0,CONTACT,MIR
17.35,-5.8894,0.1963,CONTACT,MIR
17.4,-6.3224,0.0,CONTACT,MIR
17.45,-5.7109,0.0,CONTACT,MIR
17.5,-5.9324,0.0,CONTACT,MIR
17.55,-5.8367,0.0,CONTACT,MIR
17.6,-6.1203,0.0,CONTACT,MIR
17.65,-5.8433,0.1948,CONTACT,MIR
17.7,-5.8017,0.0,CONTACT,MIR
17.75,-5.9688,0.0,CONTACT,MIR
17.8,-5.9685,0.0,CONTACT,MIR
